Run,Success Rate (%),Success Count,Total Bytes
636,72.50,29,40
637,47.50,19,40
638,57.50,23,40
639,52.50,21,40
640,92.50,37,40
641,67.50,27,40
642,97.50,39,40
643,72.50,29,40
644,20.00,8,40
645,90.00,36,40
646,67.50,27,40
647,75.00,30,40
648,70.00,28,40
649,70.00,28,40
650,40.00,16,40
651,82.50,33,40
652,42.50,17,40
653,72.50,29,40
654,92.50,37,40
655,87.50,35,40
656,97.50,39,40
657,80.00,32,40
658,60.00,24,40
659,80.00,32,40
660,50.00,20,40
661,65.00,26,40
662,32.50,13,40
663,82.50,33,40
664,80.00,32,40
665,100.00,40,40
666,65.00,26,40
667,92.50,37,40
668,85.00,34,40
669,80.00,32,40
670,97.50,39,40
671,17.50,7,40
672,82.50,33,40
673,97.50,39,40
674,100.00,40,40
675,72.50,29,40
676,97.50,39,40
677,100.00,40,40
678,82.50,33,40
679,52.50,21,40
680,95.00,38,40
681,80.00,32,40
682,95.00,38,40
683,97.50,39,40
684,90.00,36,40
685,45.00,18,40
686,95.00,38,40
687,90.00,36,40
688,30.00,12,40
689,60.00,24,40
690,47.50,19,40
691,70.00,28,40
692,42.50,17,40
693,72.50,29,40
694,62.50,25,40
695,50.00,20,40
696,67.50,27,40
697,70.00,28,40
698,97.50,39,40
699,82.50,33,40
700,30.00,12,40
701,90.00,36,40
702,20.00,8,40
703,70.00,28,40
704,17.50,7,40
705,32.50,13,40
706,80.00,32,40
707,20.00,8,40
708,60.00,24,40
709,42.50,17,40
710,85.00,34,40
711,85.00,34,40
712,77.50,31,40
713,87.50,35,40
714,97.50,39,40
715,47.50,19,40
716,22.50,9,40
717,95.00,38,40
718,70.00,28,40
719,90.00,36,40
720,25.00,10,40
721,97.50,39,40
722,67.50,27,40
723,100.00,40,40
724,97.50,39,40
725,95.00,38,40
726,87.50,35,40
727,30.00,12,40
728,40.00,16,40
729,80.00,32,40
730,80.00,32,40
731,85.00,34,40
732,82.50,33,40
733,20.00,8,40
734,70.00,28,40
735,97.50,39,40
736,32.50,13,40
737,82.50,33,40
738,80.00,32,40
739,95.00,38,40
740,87.50,35,40
741,72.50,29,40
742,80.00,32,40
743,85.00,34,40
744,92.50,37,40
745,95.00,38,40
746,37.50,15,40
747,30.00,12,40
748,100.00,40,40
749,82.50,33,40
750,90.00,36,40
751,27.50,11,40
752,75.00,30,40
753,82.50,33,40
754,55.00,22,40
755,62.50,25,40
756,87.50,35,40
757,80.00,32,40
758,72.50,29,40
759,35.00,14,40
760,92.50,37,40
761,85.00,34,40
762,100.00,40,40
763,95.00,38,40
764,37.50,15,40
765,97.50,39,40
766,32.50,13,40
767,25.00,10,40
768,87.50,35,40
769,47.50,19,40
770,25.00,10,40
771,87.50,35,40
772,87.50,35,40
773,85.00,34,40
774,62.50,25,40
775,17.50,7,40
776,35.00,14,40
777,77.50,31,40
778,87.50,35,40
779,90.00,36,40
780,97.50,39,40
781,22.50,9,40
782,82.50,33,40
783,30.00,12,40
784,92.50,37,40
785,90.00,36,40
786,95.00,38,40
787,35.00,14,40
788,27.50,11,40
789,92.50,37,40
790,60.00,24,40
791,25.00,10,40
792,67.50,27,40
793,85.00,34,40
794,95.00,38,40
795,100.00,40,40
796,52.50,21,40
797,90.00,36,40
798,32.50,13,40
799,90.00,36,40
800,82.50,33,40
801,95.00,38,40
802,85.00,34,40
803,72.50,29,40
804,35.00,14,40
805,75.00,30,40
806,67.50,27,40
807,92.50,37,40
808,42.50,17,40
809,67.50,27,40
810,75.00,30,40
811,60.00,24,40
812,45.00,18,40
813,92.50,37,40
814,100.00,40,40
815,22.50,9,40
816,100.00,40,40
817,60.00,24,40
818,45.00,18,40
819,97.50,39,40
820,82.50,33,40
821,92.50,37,40
822,75.00,30,40
823,75.00,30,40
824,95.00,38,40
825,85.00,34,40
826,25.00,10,40
827,82.50,33,40
828,92.50,37,40
829,70.00,28,40
830,75.00,30,40
831,20.00,8,40
832,30.00,12,40
833,92.50,37,40
834,72.50,29,40
835,57.50,23,40
836,80.00,32,40
837,97.50,39,40
838,65.00,26,40
839,70.00,28,40
840,32.50,13,40
841,57.50,23,40
842,92.50,37,40
843,15.00,6,40
844,97.50,39,40
845,42.50,17,40
846,75.00,30,40
847,30.00,12,40
848,97.50,39,40
849,20.00,8,40
850,40.00,16,40
851,100.00,40,40
852,85.00,34,40
853,15.00,6,40
854,82.50,33,40
855,85.00,34,40
856,97.50,39,40
857,72.50,29,40
858,97.50,39,40
859,90.00,36,40
860,65.00,26,40
861,95.00,38,40
862,60.00,24,40
863,22.50,9,40
864,40.00,16,40
865,70.00,28,40
866,17.50,7,40
867,20.00,8,40
868,100.00,40,40
869,100.00,40,40
870,85.00,34,40
871,85.00,34,40
872,47.50,19,40
873,72.50,29,40
874,27.50,11,40
875,97.50,39,40
876,52.50,21,40
877,35.00,14,40
878,97.50,39,40
879,67.50,27,40
880,95.00,38,40
881,90.00,36,40
882,82.50,33,40
883,65.00,26,40
884,90.00,36,40
885,25.00,10,40
886,77.50,31,40
887,30.00,12,40
888,27.50,11,40
889,17.50,7,40
890,72.50,29,40
891,27.50,11,40
892,92.50,37,40
893,32.50,13,40
894,80.00,32,40
895,85.00,34,40
896,92.50,37,40
897,75.00,30,40
898,80.00,32,40
899,95.00,38,40
900,92.50,37,40
901,27.50,11,40
902,77.50,31,40
903,97.50,39,40
904,92.50,37,40
905,95.00,38,40
906,92.50,37,40
907,87.50,35,40
908,82.50,33,40
909,95.00,38,40
910,77.50,31,40
911,25.00,10,40
912,100.00,40,40
913,52.50,21,40
914,25.00,10,40
915,80.00,32,40
916,62.50,25,40
917,95.00,38,40
918,100.00,40,40
919,62.50,25,40
920,97.50,39,40
921,100.00,40,40
922,92.50,37,40
923,100.00,40,40
924,70.00,28,40
925,40.00,16,40
926,32.50,13,40
927,77.50,31,40
928,72.50,29,40
929,67.50,27,40
930,65.00,26,40
931,42.50,17,40
932,87.50,35,40
933,32.50,13,40
934,47.50,19,40
935,30.00,12,40
936,47.50,19,40
937,85.00,34,40
938,70.00,28,40
939,32.50,13,40
940,87.50,35,40
941,95.00,38,40
942,100.00,40,40
943,92.50,37,40
944,87.50,35,40
945,25.00,10,40
946,90.00,36,40
947,40.00,16,40
948,95.00,38,40
949,30.00,12,40
950,30.00,12,40
951,85.00,34,40
952,95.00,38,40
953,20.00,8,40
954,82.50,33,40
955,35.00,14,40
956,15.00,6,40
957,95.00,38,40
958,27.50,11,40
959,95.00,38,40
960,87.50,35,40
961,22.50,9,40
962,30.00,12,40
963,65.00,26,40
964,35.00,14,40
965,100.00,40,40
966,97.50,39,40
967,100.00,40,40
968,95.00,38,40
969,37.50,15,40
970,87.50,35,40
971,92.50,37,40
972,60.00,24,40
973,82.50,33,40
974,95.00,38,40
975,97.50,39,40
976,25.00,10,40
977,92.50,37,40
978,95.00,38,40
979,25.00,10,40
980,42.50,17,40
981,95.00,38,40
982,95.00,38,40
983,37.50,15,40
984,100.00,40,40
985,85.00,34,40
986,75.00,30,40
987,87.50,35,40
988,20.00,8,40
989,77.50,31,40
990,80.00,32,40
991,67.50,27,40
992,100.00,40,40
993,25.00,10,40
994,62.50,25,40
