Run,Success Rate (%),Success Count,Total Bytes
636,77.50,31,40
637,95.00,38,40
638,70.00,28,40
639,72.50,29,40
640,30.00,12,40
641,92.50,37,40
642,50.00,20,40
643,45.00,18,40
644,90.00,36,40
645,77.50,31,40
646,55.00,22,40
647,100.00,40,40
648,62.50,25,40
649,100.00,40,40
650,85.00,34,40
651,90.00,36,40
652,97.50,39,40
653,40.00,16,40
654,57.50,23,40
655,70.00,28,40
656,62.50,25,40
657,97.50,39,40
658,77.50,31,40
659,77.50,31,40
660,80.00,32,40
661,77.50,31,40
662,92.50,37,40
663,97.50,39,40
664,52.50,21,40
665,87.50,35,40
666,97.50,39,40
667,17.50,7,40
668,90.00,36,40
669,52.50,21,40
670,100.00,40,40
671,65.00,26,40
672,45.00,18,40
673,27.50,11,40
674,85.00,34,40
675,97.50,39,40
676,90.00,36,40
677,80.00,32,40
678,60.00,24,40
679,65.00,26,40
680,75.00,30,40
681,80.00,32,40
682,95.00,38,40
683,77.50,31,40
684,25.00,10,40
685,37.50,15,40
686,57.50,23,40
687,22.50,9,40
688,62.50,25,40
689,97.50,39,40
690,72.50,29,40
691,90.00,36,40
692,77.50,31,40
693,32.50,13,40
694,17.50,7,40
695,70.00,28,40
696,22.50,9,40
697,100.00,40,40
698,82.50,33,40
699,47.50,19,40
700,90.00,36,40
701,100.00,40,40
702,10.00,4,40
703,85.00,34,40
704,62.50,25,40
705,100.00,40,40
706,30.00,12,40
707,85.00,34,40
708,32.50,13,40
709,75.00,30,40
710,85.00,34,40
711,45.00,18,40
712,95.00,38,40
713,82.50,33,40
714,40.00,16,40
715,35.00,14,40
716,25.00,10,40
717,22.50,9,40
718,92.50,37,40
719,27.50,11,40
720,25.00,10,40
721,80.00,32,40
722,95.00,38,40
723,75.00,30,40
724,92.50,37,40
725,92.50,37,40
726,72.50,29,40
727,95.00,38,40
728,42.50,17,40
729,92.50,37,40
730,92.50,37,40
731,92.50,37,40
732,90.00,36,40
733,62.50,25,40
734,92.50,37,40
735,12.50,5,40
736,90.00,36,40
737,85.00,34,40
738,27.50,11,40
739,97.50,39,40
740,100.00,40,40
741,22.50,9,40
742,90.00,36,40
743,95.00,38,40
744,75.00,30,40
745,90.00,36,40
746,95.00,38,40
747,57.50,23,40
748,90.00,36,40
749,87.50,35,40
750,80.00,32,40
751,32.50,13,40
752,65.00,26,40
753,55.00,22,40
754,85.00,34,40
755,35.00,14,40
756,97.50,39,40
757,70.00,28,40
758,97.50,39,40
759,27.50,11,40
760,97.50,39,40
761,87.50,35,40
762,85.00,34,40
763,85.00,34,40
764,87.50,35,40
765,95.00,38,40
766,92.50,37,40
767,40.00,16,40
768,50.00,20,40
769,70.00,28,40
770,80.00,32,40
771,27.50,11,40
772,77.50,31,40
773,95.00,38,40
774,90.00,36,40
775,60.00,24,40
776,25.00,10,40
777,100.00,40,40
778,27.50,11,40
779,85.00,34,40
